order_id,product_id,product_name,supplier_name,quantity_available,unit_cost,order_date,expected_delivery_date,min_order_qty
ORD001,SKU001,Widget Pro,Acme Corp,500,18.00,2025-12-01,2025-12-31,50
ORD002,SKU001,Widget Pro,Beta Supplies,400,19.50,2025-12-05,2026-01-04,25
ORD003,SKU001,Widget Pro,Gamma Industries,300,17.00,2025-12-10,2026-01-09,100
ORD004,SKU002,Gadget Plus,Acme Corp,600,32.00,2025-12-01,2025-12-31,50
ORD005,SKU002,Gadget Plus,Delta Distributors,450,30.50,2025-12-08,2026-01-07,30
ORD006,SKU002,Gadget Plus,Epsilon Ltd,350,33.00,2025-12-15,2026-01-14,40
ORD007,SKU003,Component X,Beta Supplies,1000,8.00,2025-12-01,2025-12-31,100
ORD008,SKU003,Component X,Zeta Manufacturing,800,7.50,2025-12-10,2026-01-09,150
ORD009,SKU003,Component X,Theta Parts,1200,8.50,2025-12-20,2026-01-19,75
ORD010,SKU004,Assembly Kit,Gamma Industries,250,62.00,2025-12-05,2026-01-04,20
ORD011,SKU004,Assembly Kit,Kappa Systems,200,65.00,2025-12-12,2026-01-11,15
ORD012,SKU004,Assembly Kit,Lambda Co,180,60.00,2025-12-18,2026-01-17,25
ORD013,SKU005,Power Module,Delta Distributors,400,24.00,2025-12-01,2025-12-31,40
ORD014,SKU005,Power Module,Mu Electronics,350,25.50,2025-12-08,2026-01-07,30
ORD015,SKU005,Power Module,Nu Power,300,23.00,2025-12-15,2026-01-14,50

